"","Tissue"
"Blood_SRR6761851","Blood"
"Blood_SRR6761852","Blood"
"Blood_SRR6761853","Blood"
"Blood_SRR6761854","Blood"
"Blood_SRR6761855","Blood"
"Blood_SRR6761856","Blood"
"Blood_SRR6761867","Blood"
"Blood_SRR6761868","Blood"
"Blood_SRR6761869","Blood"
"Blood_SRR6761870","Blood"
"Brian_SRR3208120","Brian"
"Brian_SRR3208121","Brian"
"Brian_SRR3208122","Brian"
"Muscle_SRR8551561","Muscle"
"Muscle_SRR8695298","Muscle"
"Ovary_SRR8551564","Ovary"
"Ovary_SRR8551565","Ovary"
"Ovary_SRR8695295","Ovary"
"PGC_SRR11924447","PGC"
"PGC_SRR11924448","PGC"
"PGC_SRR11924449","PGC"
"PGC_SRR11924450","PGC"
"PGC_SRR11924451","PGC"
"PGC_SRR11924452","PGC"
"PGC_SRR11924453","PGC"
"PGC_SRR11924454","PGC"
"Spleen_SRR5001848","Spleen"
"Spleen_SRR5001850","Spleen"
"Spleen_SRR5001851","Spleen"
"Testis_SRR2299402","Testis"
"Testis_SRR2299403","Testis"
"Testis_SRR2299404","Testis"
"Testis_SRR8551566","Testis"
"Testis_SRR8551567","Testis"
"Testis_SRR8695297","Testis"
"Testis_SRR8695301","Testis"
