"","PGC_SRR11924447","PGC_SRR11924448","PGC_SRR11924449","PGC_SRR11924450","PGC_SRR11924451","PGC_SRR11924452","PGC_SRR11924453","PGC_SRR11924454","Testis_SRR2299402","Testis_SRR2299403","Testis_SRR2299404","Testis_SRR8551567","Testis_SRR8695301","Ovary_SRR8551565","Blood_SRR6761851","Blood_SRR6761852","Blood_SRR6761853","Blood_SRR6761854","Blood_SRR6761855","Blood_SRR6761856","Blood_SRR6761867","Blood_SRR6761868","Blood_SRR6761869","Blood_SRR6761870","Brian_SRR3208120","Brian_SRR3208121","Brian_SRR3208122","Muscle_SRR8551561","Muscle_SRR8695298","Spleen_SRR5001848","Spleen_SRR5001850","Spleen_SRR5001851"
"TAEGUT_R14791",23.0882856850206,18.033630769349,56.4344435365334,15.0283692506279,9.87875345670351,6.48588424465294,7.16160800231608,2.53663704154617,2.49921742225307,7.84098506899527,17.7205865932274,5.15610751594176,5.15610751594176,0.383026445871152,0,0,0,0,0,0,0,0,0,0,0,5.20838198693057,3.11215026378232,0.642026910757762,0.641987448136742,0,2.12280400357523,0
"TAEGUT_R14799",10.5546448845808,10.8201784616094,44.5535080551579,4.22672885173909,1.74330943353591,2.16196141488431,1.79040200057902,1.90247778115963,0,0.653415422416273,0.57163182558798,1.58649462028977,1.58649462028977,4.21329090458267,10.5985490691932,11.4867339389576,29.1697117369251,15.2650407024788,29.371518852828,13.7682427184438,9.33003749897451,12.421329858248,15.6854549094038,25.7230069109285,0.914768624546682,1.73612732897686,0,0,0,0.823814102090912,4.24560800715047,2.70282580724526
"TAEGUT_R19108",13.193306105726,19.476321230897,53.4642096661895,13.1498230942994,11.6220628902394,12.9717684893059,13.7264153377725,1.26831852077308,29.9906090670368,21.562708939737,15.4340592908755,2.37974193043466,2.37974193043466,0.383026445871152,4.2394196276773,0,0,0,2.9371518852828,0,0,0,3.92136372735094,0,26.5282901118538,8.68063664488428,0,0,0,62.6098717589093,1.27368240214514,0
"TAEGUT_R18507",5.27732244229041,3.60672615386981,19.3065201572351,2.81781923449273,1.74330943353591,2.16196141488431,1.19360133371935,0.634159260386542,3.33228989633742,3.26707711208136,4.00142277911586,2.37974193043466,2.37974193043466,2.68118512109807,0,0,0,0,0,0,0,0,0,2.85811187899206,2.74430587364004,1.73612732897686,1.03738342126077,1.92608073227329,1.92596234441023,0.823814102090912,0.424560800715047,1.35141290362263
"TAEGUT_R18508",1.9789959158589,2.88538092309585,25.2469878979228,1.40890961724636,1.16220628902394,1.44130760992288,5.37120600173706,1.90247778115963,15.8283770076028,13.7217238707417,12.0042683373476,4.36286020579688,4.36286020579688,1.53210578348461,0,0,0,3.05300814049576,0,0,0,0,3.92136372735094,0,13.7215293682002,7.81257298039585,0,0,0,1.64762820418182,0,0.45047096787421
"TAEGUT_R11483",9.89497957929452,10.0988332308355,26.7321048330947,3.75709231265697,20.919713202431,17.2956913190745,13.1296146709128,5.07327408309234,22.4929568002776,5.88073880174645,10.8610046861716,5.15610751594176,5.15610751594176,12.639872713748,4.2394196276773,5.7433669694788,141.681457007922,9.15902442148727,0,0,69.9752812423088,10.3511082152067,7.84272745470188,168.628600860531,0,0,0,4.49418837530433,4.49391213695719,0,0.424560800715047,0
"TAEGUT_R15171",9.89497957929452,13.7055593847053,41.583274184814,4.69636539082122,2.32441257804788,3.60326902480719,4.17760466801771,2.53663704154617,4.16536237042178,1.30683084483255,1.14326365117596,4.75948386086932,4.75948386086932,4.59631735045383,2.11970981383865,0,2.0835508383518,6.10601628099151,2.9371518852828,0,0,0,0,5.71622375798411,1.82953724909336,1.73612732897686,0,0,0,0.823814102090912,1.27368240214514,9.91036129323261
"TAEGUT_R15172",19.1302938533027,15.8695950770272,46.0386249903298,12.2105500161352,7.55434087865562,4.32392282976863,4.17760466801771,2.53663704154617,1.66614494816871,1.96024626724882,2.28652730235192,6.74260213623154,6.74260213623154,1.14907933761346,0,0,0,0,0,0,0,0,0,0,0,0.868063664488428,1.03738342126077,0,0,0,1.69824320286019,0.45047096787421
"TAEGUT_R03584",13.8529714110123,10.0988332308355,35.6428064441263,7.04454808623182,3.48661886707183,5.04457663473007,4.77440533487739,0,0.833072474084356,3.26707711208136,1.71489547676394,0.396623655072443,0.396623655072443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAEGUT_R14183",5.93698774757671,2.16403569232188,40.0981572496421,2.34818269541061,2.32441257804788,2.88261521984575,2.98400333429837,0,0,0,0.57163182558798,1.98311827536222,1.98311827536222,1.53210578348461,0,0,2.0835508383518,0,0,0,0,0,0,0,0,0,0,0,0,0.823814102090912,0,0
