"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ID","significant","diffexpressed","ERVK_related"
"TAEGUT_R03469",464.691976386727,1.1847359938061,0.664565816761324,1.78272183721359,0.074631594791553,0.136025781332616,"TAEGUT_R03469","NS.",NA,NA
"TAEGUT_R03468",0.712475514039854,1.7644783183091,2.81343394731717,0.627161807012271,0.530553175923068,0.649599099219598,"TAEGUT_R03468","NS.",NA,NA
"TAEGUT_R04207",62.4313304601693,1.57918917678577,0.659941152448127,2.39292423411934,0.0167146922904871,0.0377570308378739,"TAEGUT_R04207","significant","UP",NA
"TAEGUT_R14752",156.784085805282,1.3961349854823,0.488240581486269,2.85952261737908,0.00424279162212564,0.0114130496216051,"TAEGUT_R14752","significant","UP",NA
"TAEGUT_R03461",3142.37962001941,1.89327586391968,1.08599728610657,1.74335229759855,0.0812720953683773,0.146187060536234,"TAEGUT_R03461","NS.",NA,NA
"TAEGUT_R03460",644.093377753483,2.74325419330184,0.493484318061447,5.55894907477133,2.71403864900402e-08,2.24662088167555e-07,"TAEGUT_R03460","significant","UP",NA
"TAEGUT_R03463",5.73507508133357,-0.353885250586373,1.56950798684721,-0.225475278591763,0.82160955506852,0.879306973950054,"TAEGUT_R03463","NS.",NA,NA
"TAEGUT_R03462",38943.5080492713,-6.61561942295095,0.7632487171106,-8.66771115973235,4.40893467973158e-18,2.51006573766688e-16,"TAEGUT_R03462","significant","DOWN",NA
"TAEGUT_R03465",14.62733275862,1.44014359039922,0.991364665757692,1.45268803714981,0.146310389957835,0.238001427441028,"TAEGUT_R03465","NS.",NA,NA
"TAEGUT_R03464",131.729340842154,1.58859085092198,0.674329865420608,2.35580675331814,0.0184825299225097,0.0410694175325766,"TAEGUT_R03464","significant","UP",NA
"TAEGUT_R03467",5.82875833445018,4.9126598569635,0.971655125009782,5.05597071482954,4.28207045018255e-07,2.81224681907306e-06,"TAEGUT_R03467","significant","UP",NA
"TAEGUT_R03466",783.321708966631,3.37961475206247,0.697071339173669,4.84830542031577,1.24520586103108e-06,7.4657548511741e-06,"TAEGUT_R03466","significant","UP",NA
"TAEGUT_R05852",427.054875999566,0.954863017011938,0.638583563057868,1.49528279813461,0.134840652521084,0.222233056073462,"TAEGUT_R05852","NS.",NA,NA
"TAEGUT_R05853",12.2250886604597,3.03328611116956,0.628497739135242,4.82624824608454,1.39129070153933e-06,8.26368615999942e-06,"TAEGUT_R05853","significant","UP",NA
"TAEGUT_R05850",1220.39990995075,1.25000333486594,0.261608536396861,4.77814429178136,1.76920406750927e-06,1.03599201644264e-05,"TAEGUT_R05850","significant","UP",NA
"TAEGUT_R05851",207.183174013167,0.258929064430872,0.234003782073335,1.10651657907703,0.268502992125254,0.387535119253279,"TAEGUT_R05851","NS.",NA,NA
"TAEGUT_R05856",64.2048023957762,-1.2456846273683,0.467756599607557,-2.66310433335076,0.0077423404344619,0.0193426665923575,"TAEGUT_R05856","significant","DOWN",NA
"TAEGUT_R05857",1.25566924850074,3.38700106195411,2.21588279240711,1.5285109273649,0.126385732545286,0.210628162452262,"TAEGUT_R05857","NS.",NA,NA
"TAEGUT_R05854",3.63677683645149,4.92267407972455,1.70334548096456,2.89000331097657,0.00385237768936719,0.0104646841321195,"TAEGUT_R05854","significant","UP",NA
"TAEGUT_R05855",57.3660501614011,1.50330390877887,0.63019507154796,2.38545805362501,0.0170578675428925,0.038421090002615,"TAEGUT_R05855","significant","UP",NA
"TAEGUT_R09032",4.98859271608655,5.38164087346708,0.732543197540297,7.34651675360215,2.03438735110909e-13,4.59713691473372e-12,"TAEGUT_R09032","significant","UP",NA
"TAEGUT_R05858",65.5885293780925,0.832756948099197,0.499567497548356,1.66695582115726,0.0955231898836101,0.167185305814464,"TAEGUT_R05858","NS.",NA,NA
"TAEGUT_R05859",56.1190994166471,8.87692362376642,1.08603697519109,8.17368453058841,2.99111304305344e-16,1.17138620035144e-14,"TAEGUT_R05859","significant","UP",NA
"TAEGUT_R17200",138.020806010847,1.06480206046874,0.852602797285519,1.24888408044028,0.211707475065917,0.320518405184582,"TAEGUT_R17200","NS.",NA,NA
"TAEGUT_R17201",4.93871510048576,0.341421412566758,1.9402509886502,0.175967652929418,0.860319355093519,0.907071189139455,"TAEGUT_R17201","NS.",NA,NA
"TAEGUT_R17202",6.61171232325975,0.236434554842087,0.8007725237872,0.295258076193581,0.767796739943775,0.84109021212643,"TAEGUT_R17202","NS.",NA,NA
"TAEGUT_R17203",1872.24018256529,-2.07674376913156,0.364836290542752,-5.69226204455174,1.25367249148335e-08,1.11313043564108e-07,"TAEGUT_R17203","significant","DOWN",NA
"TAEGUT_R17204",2028.10807461993,-2.68179086545047,0.397642028609119,-6.744233940338,1.53836503971739e-11,2.45932087489439e-10,"TAEGUT_R17204","significant","DOWN",NA
"TAEGUT_R17205",47.5289693618731,-0.543810465278833,0.638943283077394,-0.851109135476994,0.394708731157936,0.521827597438247,"TAEGUT_R17205","NS.",NA,NA
"TAEGUT_R17206",413.395439158712,4.34727022176932,0.481238505654614,9.03350453192822,1.66260093108385e-19,1.23863769365747e-17,"TAEGUT_R17206","significant","UP",NA
"TAEGUT_R17207",15.4083902716959,-1.9574053806724,1.38965759645242,-1.40855228343252,0.158967596771539,0.254250556192274,"TAEGUT_R17207","NS.",NA,NA
