Species Name,Common name,Clade,Order,Family,ID,Accession
Charadrius vociferus,Killdeer,Aves,Charadriiformes,Charadriidae,APP-001,GCA_000708025.2
Acanthisitta chloris,Rifleman,Aves,Passeriformes,Acanthisittidae,APP-002,GCA_000695815.1
Apaloderma vittatum,Bar-tailed Trogon,Aves,Trogoniformes,Trogonidae,APP-004,GCA_000703405.1
Aptenodytes forsteri,Emperor Penguin,Aves,Sphenisciformes,Spheniscidae,APP-005,GCA_000699145.1
Balearica regulorum,Grey-crowned Crane,Aves,Gruiformes,Gruidae,APP-006,GCA_000709895.1
Buceros rhinoceros,Rhinoceros Hornbill,Aves,Bucerotiformes,Bucerotidae,APP-007,GCA_000710305.1
Calypte anna,Anna's Hummingbird,Aves,Caprimulgiformes,Trochilidae,APP-008,GCA_000699085.1
Antrostomus carolinensis,Chuck-will's-widow,Aves,Caprimulgiformes,Caprimulgidae,APP-009,GCA_000700745.1
Cariama cristata,Red-legged Seriema,Aves,Cariamiformes,Cariamidae,APP-010,GCA_000690535.1
Cathartes aura,Turkey Vulture,Aves,Accipitriformes,Cathartidae,APP-011,GCA_000699945.1
Chaetura pelagica,Chimney Swift,Aves,Caprimulgiformes,Apodidae,APP-012,GCA_000747805.1
Chlamydotis macqueenii,MacQueen's Bustard,Aves,Otidiformes,Otididae,APP-013,GCA_000695195.1
Colius striatus,Speckled Mousebird,Aves,Coliiformes,Coliidae,APP-014,GCA_000690715.1
Columba livia,Domestic Pigeon (Rock Dove),Aves,Columbiformes,Columbidae,APP-015,GCA_000337935.2
Corvus brachyrhynchos,American Crow,Aves,Passeriformes,Corvidae,APP-016,GCA_000691975.1
Cuculus canorus,Common Cuckoo,Aves,Cuculiformes,Cuculidae,APP-017,GCA_000709325.1
Egretta garzetta,Little Egret,Aves,Pelecaniformes,Ardeidae,APP-018,GCA_000687185.1
Eurypyga helias,Sunbittern,Aves,Eurypygiformes,Eurypygidae,APP-019,GCA_000690775.1
Falco peregrinus,Peregrine Falcon,Aves,Falconiformes,Falconidae,APP-020,GCA_000337955.1
Fulmarus glacialis,Northern Fulmar,Aves,Procellariiformes,Procellariidae,APP-021,GCA_000690835.1
Gavia stellata,Red-throated Diver,Aves,Gaviiformes,Gaviidae,APP-022,GCA_000690875.1
Geospiza fortis,Medium Ground Finch,Aves,Passeriformes,Thraupidae,APP-023,GCA_000277835.1
Haliaeetus leucocephalus,Bald Eagle,Aves,Accipitriformes,Accipitridae,APP-025,GCA_000737465.1
Leptosomus discolor,Cuckoo-roller,Aves,Leptosomatiformes,Leptosomidae,APP-026,GCA_000691785.1
Melopsittacus undulatus,Budgerigar,Aves,Psittaciformes,Psittaculidae,APP-028,ERP002324(ENA Accession)
Merops nubicus,Northern Carmine Bee-eater,Aves,Coraciiformes,Meropidae,APP-029,GCA_000691845.1
Mesitornis unicolor,Brown Mesite,Aves,Mesitornithiformes,Mesitornithidae,APP-030,GCA_000695765.1
Nestor notabilis,Kea,Aves,Psittaciformes,Strigopidae,APP-031,GCA_000696875.1
Nipponia nippon,Imperial Crested Ibis,Aves,Pelecaniformes,Threskiornithidae,APP-032,GCA_000708225.1
Opisthocomus hoazin,Hoatzin,Aves,Opisthocomiformes,Opisthocomidae,APP-033,GCA_000692075.1
Pelecanus crispus,Dalmatian Pelican,Aves,Pelecaniformes,Pelecanidae,APP-034,GCA_000687375.1
Phaethon lepturus,White-tailed Tropicbird,Aves,Phaethontiformes,Phaethontidae,APP-035,GCA_000687285.1
Phalacrocorax carbo,Great Cormorant,Aves,Pelecaniformes,Phalacrocoracidae,APP-036,GCA_000708925.1
Phoenicopterus ruber,American Flamingo,Aves,Phoenicopteriformes,Phoenicopteridae,APP-037,GCA_000687265.1
Picoides pubescens,Downy Woodpecker,Aves,Piciformes,Picidae,APP-038,GCA_000699005.1
Podiceps cristatus,Great Crested Grebe,Aves,Podicipiformes,Podicipedidae,APP-039,GCA_000699545.1
Pterocles gutturalis,Yellow-throated Sandgrouse,Aves,Pterocliformes,Pteroclidae,APP-040,GCA_000699245.1
Pygoscelis adeliae,Adelie Penguin,Aves,Sphenisciformes,Spheniscidae,APP-041,GCA_000699105.1
Struthio camelus,Common Ostrich,Aves,Struthioniformes,Struthionidae,APP-042,GCA_000698965.1
Tauraco erythrolophus,Red-crested Turaco,Aves,Musophagiformes,Musophagidae,APP-043,GCA_000709365.1
Tinamus guttatus,White-throated Tinamou,Aves,Tinamiformes,Tinamidae,APP-044,GCA_000705375.2
Tyto alba,Common Barn Owl,Aves,Strigiformes,Tytonidae,APP-045,GCA_000687205.1
Callaeas wilsoni,North Island Kokako,Aves,Passeriformes,Callaeidae,B10K-Callaeas-wilsoni,VWPU00000000
Casuarius casuarius,Southern Cassowary,Aves,Casuariiformes,Casuariidae,B10K-Casuarius-casuarius,VWPT00000000
Crypturellus soui,Little Tinamou,Aves,Tinamiformes,Tinamidae,B10K-Crypturellus-soui,VWPX00000000
Crypturellus undulatus,Undulated Tinamou,Aves,Tinamiformes,Tinamidae,B10K-Crypturellus-undulatus,VWPW00000000
Menura novaehollandiae,Superb Lyrebird,Aves,Passeriformes,Menuridae,B10K-CU-030-46,VWPS00000000
Ardeotis kori,Kori Bustard,Aves,Otidiformes,Otididae,B10K-CU-031-01,VWPR00000000
Ceuthmochares aereus,Yellowbill,Aves,Cuculiformes,Cuculidae,B10K-CU-031-02,VWPQ00000000
Cochlearius cochlearius,Boat-billed Heron,Aves,Pelecaniformes,Ardeidae,B10K-CU-031-03,VWPP00000000
Geococcyx californianus,Greater Roadrunner,Aves,Cuculiformes,Cuculidae,B10K-CU-031-07,VWPV00000000
Glareola pratincola,Collared Pratincole,Aves,Charadriiformes,Glareolidae,B10K-CU-031-08,VWPO00000000
Nyctibius bracteatus,Rufous Potoo,Aves,Caprimulgiformes,Nyctibiidae,B10K-CU-031-10,VWZB00000000
Oceanites oceanicus,Wilson's Storm-petrel,Aves,Procellariiformes,Oceanitidae,B10K-CU-031-11,VWZA00000000
Rhodinocichla rosea,Rosy Thrush Tanager,Aves,Passeriformes,Rhodinocichlidae,B10K-CU-031-12,VWYZ00000000
Tachuris rubrigastra,Many-colored Rush Tyrant,Aves,Passeriformes,Tachurididae,B10K-CU-031-13,VZRD00000000
Ptilorrhoa leucosticta,Spotted Jewel-babbler,Aves,Passeriformes,Cinclosomatidae,B10K-CU-031-17,VWYY00000000
Chaetorhynchus papuensis,Pygmy Drongo,Aves,Passeriformes,Rhipiduridae,B10K-CU-031-19,VWYX00000000
Smithornis capensis,African Broadbill,Aves,Passeriformes,Calyptomenidae,B10K-CU-031-20,VWYW00000000
Chunga burmeisteri,Black-legged Seriema,Aves,Cariamiformes,Cariamidae,B10K-CU-031-22,VZRC00000000
Lophotis ruficrista,Red-crested Bustard,Aves,Otidiformes,Otididae,B10K-CU-031-23,VWYV00000000
Anhinga anhinga,Anhinga,Aves,Pelecaniformes,Anhingidae,B10K-CU-031-38,WBMU00000000
Corythaeola cristata,Great Blue Turaco,Aves,Musophagiformes,Musophagidae,B10K-CU-031-40,WBMX00000000
Dromaius novaehollandiae,Emu,Aves,Casuariiformes,Casuariidae,B10K-Dromaius-novaehollandiae,VWZH00000000
Cephalopterus ornatus,Amazonian Umbrellabird,Aves,Passeriformes,Cotingidae,B10K-DU-001-01,VZRE00000000
Grallaria varia,Variegated Antpitta,Aves,Passeriformes,Grallariidae,B10K-DU-001-02,VWZG00000000
Sclerurus mexicanus,Tawny-throated Leaftosser,Aves,Passeriformes,Scleruridae,B10K-DU-001-03,VWZF00000000
Eubucco bourcierii,Red-headed Barbet,Aves,Piciformes,Ramphastidae,B10K-DU-001-04,VWZE00000000
Sakesphorus luctuosus,Glossy Antshrike,Aves,Passeriformes,Thamnophilidae,B10K-DU-001-06,VWZD00000000
Ciccaba nigrolineata,Black-and-white Owl,Aves,Strigiformes,Strigidae,B10K-DU-001-07,VWZC00000000
Penelope pileata,White-crested Guan,Aves,Galliformes,Cracidae,B10K-DU-001-08,WBMW00000000
Campylorhamphus procurvoides,Curved-billed Scythebill,Aves,Passeriformes,Dendrocolaptidae,B10K-DU-001-09,WBMV00000000
