ID	clade	Order	Family	Tree.name	Order.spes	Latin.name
APP-001	Aves	Charadriiformes	Charadriidae	CHAVOC	Charadriiformes	Charadrius vociferus
APP-002	Aves	Passeriformes	Acanthisittidae	ACACHL	Passeriformes	Acanthisitta chloris
APP-004	Aves	Trogoniformes	Trogonidae	APAVIT	Trogoniformes	Apaloderma vittatum
APP-005	Aves	Sphenisciformes	Spheniscidae	APTFOR	Sphenisciformes	Aptenodytes forsteri
APP-006	Aves	Gruiformes	Gruidae	BALREG	Gruiformes	Balearica regulorum
APP-007	Aves	Bucerotiformes	Bucerotidae	BUCRHI	Bucerotiformes	Buceros rhinoceros
APP-008	Aves	Caprimulgiformes	Trochilidae	CALANN	Caprimulgiformes	Calypte anna
APP-009	Aves	Caprimulgiformes	Caprimulgidae	ANTCAR	Caprimulgiformes	Antrostomus carolinensis
APP-010	Aves	Cariamiformes	Cariamidae	CARCRI	Cariamiformes	Cariama cristata
APP-011	Aves	Accipitriformes	Cathartidae	CATAUR	Accipitriformes	Cathartes aura
APP-012	Aves	Caprimulgiformes	Apodidae	CHAPEL	Caprimulgiformes	Chaetura pelagica
APP-013	Aves	Otidiformes	Otididae	CHLMAC	Otidiformes	Chlamydotis macqueenii
APP-014	Aves	Coliiformes	Coliidae	COLSTR	Coliiformes	Colius striatus
APP-015	Aves	Columbiformes	Columbidae	COLLIV	Columbiformes	Columba livia
APP-016	Aves	Passeriformes	Corvidae	CORBRA	Passeriformes	Corvus brachyrhynchos
APP-017	Aves	Cuculiformes	Cuculidae	CUCCAN	Cuculiformes	Cuculus canorus
APP-018	Aves	Pelecaniformes	Ardeidae	EGRGAR	Pelecaniformes	Egretta garzetta
APP-019	Aves	Eurypygiformes	Eurypygidae	EURHEL	Eurypygiformes	Eurypyga helias
APP-020	Aves	Falconiformes	Falconidae	FALPER	Falconiformes	Falco peregrinus
APP-021	Aves	Procellariiformes	Procellariidae	FULGLA	Procellariiformes	Fulmarus glacialis
APP-022	Aves	Gaviiformes	Gaviidae	GAVSTE	Gaviiformes	Gavia stellata
APP-023	Aves	Passeriformes	Thraupidae	GEOFOR	Passeriformes	Geospiza fortis
APP-025	Aves	Accipitriformes	Accipitridae	HALLEU	Accipitriformes	Haliaeetus leucocephalus
APP-026	Aves	Leptosomatiformes	Leptosomidae	LEPDIS	Leptosomatiformes	Leptosomus discolor
