,ref,ERR1013161,ERR1013162,ERR1013163,ERR1013164,ERR1013165,ERR1013166,ERR1013167,ERR1013168,ERR1013169,ERR1013170,ERR1013171,ERR1013172,ERR1013173,ERR1013174,ERR1013175,ERR1013176,ERR1013177,ERR1013178,ERR1013179
TAEGUT_ERVK_SoloLTR_9013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_9384,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_8896,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_10863,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_15144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_9085,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_8130,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_18251,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_22659,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_11932,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_20652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_6323,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_14568,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_3702,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_15284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_19652,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_10054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_16687,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_16512,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_13389,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_1048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_14236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_1437,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TAEGUT_ERVK_SoloLTR_6651,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
